,state,customer_lifetime_value,response,coverage,education,effective_to_date,employmentstatus,gender,income,location_code,marital_status,monthly_premium_auto,months_since_last_claim,months_since_policy_inception,number_of_open_complaints,number_of_policies,policy_type,policy,renew_offer_type,sales_channel,total_claim_amount,vehicle_class,vehicle_size,vehicle_type,month,year
23,Nevada,9521,No,Extended,College,2011-01-24,Employed,M,27769,Rural,Married,121,24.0,78,0.0,6,Special Auto,Special L3,Offer4,Agent,123,SUV,Small,Automatic,January,2011
24,Arizona,8870,No,Basic,College,2011-02-21,Employed,F,81350,Rural,Married,110,1.0,28,0.0,9,Personal Auto,Personal L3,Offer3,Branch,228,SUV,Large,Automatic,February,2011
25,Oregon,4376,Yes,Premium,Bachelor,2011-02-28,Employed,F,63774,Rural,Divorced,111,18.0,63,0.0,1,Personal Auto,Personal L3,Offer2,Agent,60,Four-Door Car,Medsize,Manual,February,2011
26,Nevada,2927,No,Basic,College,2011-02-22,Employed,F,92381,Urban,Married,72,24.0,27,0.0,1,Special Auto,Special L2,Offer2,Call Center,235,Four-Door Car,Medsize,Automatic,February,2011
27,California,24707,No,Basic,High School or Below,2011-01-07,Medical Leave,M,26307,Urban,Married,73,26.0,1,0.0,2,Personal Auto,Personal L2,Offer4,Call Center,313,Four-Door Car,Medsize,Manual,January,2011
28,California,8491,No,Premium,High School or Below,2011-01-28,Unemployed,F,0,Suburban,Single,116,3.0,97,0.0,3,Personal Auto,Personal L3,Offer1,Branch,1193,Four-Door Car,Large,Automatic,January,2011
29,California,9192,No,Basic,Master,2011-02-08,Employed,F,23823,Suburban,Married,115,5.0,39,0.0,6,Corporate Auto,Corporate L2,Offer2,Branch,567,Sports Car,Medsize,Manual,February,2011
30,Arizona,5776,No,Premium,High School or Below,2011-01-28,Medical Leave,F,27510,Suburban,Married,159,5.0,28,3.0,1,Corporate Auto,Corporate L3,Offer1,Call Center,871,SUV,Small,Automatic,January,2011
31,California,9116,No,Basic,Bachelor,2011-02-15,Employed,F,69588,Rural,Married,114,19.0,45,0.0,6,Personal Auto,Personal L1,Offer1,Branch,173,SUV,Medsize,Manual,February,2011
32,California,4163,No,Basic,College,2011-02-12,Employed,F,43276,Suburban,Married,104,16.0,11,0.0,1,Personal Auto,Personal L3,Offer2,Call Center,499,SUV,Large,Manual,February,2011
33,California,5265,No,Basic,College,2011-02-20,Unemployed,F,0,Rural,Divorced,72,30.0,26,0.0,8,Special Auto,Special L3,Offer1,Branch,136,Four-Door Car,Medsize,Manual,February,2011
34,California,3945,No,Basic,College,2011-01-05,Medical Leave,M,28855,Suburban,Married,101,12.0,59,0.0,1,Personal Auto,Personal L2,Offer3,Call Center,647,SUV,Medsize,Manual,January,2011
35,Oregon,5177,No,Basic,High School or Below,2011-02-07,Employed,M,41533,Urban,Married,65,2.0,46,0.0,9,Corporate Auto,Corporate L2,Offer3,Agent,233,Four-Door Car,Medsize,Manual,February,2011
36,Arizona,4492,No,Basic,Bachelor,2011-01-28,Medical Leave,F,21137,Suburban,Single,61,29.0,62,1.0,6,Personal Auto,Personal L1,Offer2,Web,293,Four-Door Car,Medsize,Manual,January,2011
37,Oregon,8470,No,Extended,Bachelor,2011-02-19,Unemployed,F,0,Suburban,Single,82,1.0,13,0.0,2,Personal Auto,Personal L2,Offer2,Web,479,Four-Door Car,Large,Automatic,February,2011
38,California,2880,No,Basic,College,2011-01-05,Employed,F,81565,Urban,Married,71,19.0,54,0.0,1,Personal Auto,Personal L2,Offer2,Branch,191,Four-Door Car,Medsize,Automatic,January,2011
39,Arizona,6183,No,Extended,High School or Below,2011-02-07,Medical Leave,M,20072,Suburban,Married,82,35.0,51,0.0,9,Corporate Auto,Corporate L3,Offer1,Agent,473,Four-Door Car,Medsize,Manual,February,2011
40,Nevada,9799,No,Extended,College,2011-01-03,Medical Leave,M,22166,Suburban,Married,126,10.0,22,0.0,6,Personal Auto,Personal L3,Offer1,Web,605,SUV,Medsize,Automatic,January,2011
41,Arizona,5791,No,Basic,Master,2011-02-03,Employed,M,84551,Rural,Divorced,72,10.0,82,0.0,5,Personal Auto,Personal L3,Offer2,Agent,29,Four-Door Car,Large,Automatic,February,2011
42,Arizona,5041,No,Basic,College,2011-01-19,Employed,M,61972,Rural,Married,64,2.0,52,2.0,5,Personal Auto,Personal L1,Offer4,Call Center,139,Four-Door Car,Medsize,Manual,January,2011
43,Arizona,5746,No,Basic,Bachelor,2011-01-22,Employed,F,57740,Urban,Married,74,30.0,87,3.0,9,Personal Auto,Personal L1,Offer3,Web,270,Four-Door Car,Medsize,Automatic,January,2011
44,Arizona,4828,No,Basic,College,2011-01-17,Unemployed,F,0,Suburban,Single,68,29.0,91,0.0,6,Personal Auto,Personal L3,Offer1,Branch,326,Four-Door Car,Medsize,Manual,January,2011
45,California,7664,No,Basic,College,2011-01-23,Employed,M,60184,Rural,Divorced,199,7.0,44,1.0,1,Personal Auto,Personal L3,Offer2,Web,162,Luxury SUV,Medsize,Manual,January,2011
46,California,3593,No,Extended,College,2011-02-05,Disabled,F,18213,Suburban,Divorced,96,12.0,43,1.0,1,Corporate Auto,Corporate L2,Offer1,Branch,461,Four-Door Car,Large,Automatic,February,2011
47,Nevada,9864,No,Extended,Master,2011-02-28,Employed,F,99654,Rural,Married,121,13.0,95,0.0,3,Personal Auto,Personal L3,Offer3,Call Center,273,SUV,Medsize,Automatic,February,2011
48,California,5111,No,Basic,High School or Below,2011-02-13,Employed,F,76448,Suburban,Married,63,9.0,13,0.0,3,Personal Auto,Personal L3,Offer3,Web,302,Four-Door Car,Medsize,Automatic,February,2011
49,Arizona,2590,No,Basic,High School or Below,2011-01-03,Employed,M,22398,Suburban,Married,67,15.0,76,0.0,1,Personal Auto,Personal L1,Offer1,Agent,322,Four-Door Car,Large,Automatic,January,2011
50,Arizona,2452,No,Basic,High School or Below,2011-01-25,Employed,F,51085,Suburban,Married,62,4.0,58,1.0,1,Personal Auto,Personal L3,Offer3,Call Center,407,Two-Door Car,Small,Manual,January,2011
51,Oregon,2195,No,Basic,College,2011-01-02,Unemployed,M,0,Suburban,Single,62,11.0,48,0.0,1,Personal Auto,Personal L3,Offer4,Call Center,624,Four-Door Car,Medsize,Manual,January,2011
52,California,4474,No,Extended,High School or Below,2011-02-16,Unemployed,F,0,Suburban,Divorced,125,2.0,84,0.0,1,Personal Auto,Personal L1,Offer1,Branch,600,SUV,Medsize,Manual,February,2011
53,Arizona,19436,No,Extended,High School or Below,2011-02-01,Employed,F,38688,Suburban,Single,249,22.0,6,0.0,3,Special Auto,Special L3,Offer1,Agent,2295,Luxury Car,Medsize,Automatic,February,2011
54,Oregon,2458,No,Basic,High School or Below,2011-01-27,Employed,F,52926,Suburban,Married,61,2.0,92,0.0,1,Personal Auto,Personal L3,Offer1,Call Center,293,Four-Door Car,Medsize,Manual,January,2011
55,Oregon,6871,No,Premium,College,2011-01-24,Unemployed,M,0,Suburban,Single,105,5.0,87,0.0,3,Personal Auto,Personal L3,Offer1,Branch,756,Four-Door Car,Small,Automatic,January,2011
56,Arizona,5576,No,Basic,High School or Below,2011-01-26,Employed,M,91416,Rural,Married,69,15.0,39,0.0,5,Personal Auto,Personal L3,Offer2,Call Center,110,Four-Door Car,Medsize,Manual,January,2011
57,Oregon,5651,No,Basic,Bachelor,2011-01-19,Employed,M,44634,Suburban,Married,71,16.0,99,1.0,9,Personal Auto,Personal L3,Offer1,Branch,396,Four-Door Car,Small,Automatic,January,2011
58,California,4556,No,Basic,Bachelor,2011-02-14,Medical Leave,M,25617,Suburban,Divorced,63,22.0,3,0.0,3,Personal Auto,Personal L3,Offer2,Call Center,302,Two-Door Car,Medsize,Automatic,February,2011
59,Oregon,3096,No,Extended,College,2011-01-12,Unemployed,F,0,Suburban,Single,92,31.0,24,1.0,1,Personal Auto,Personal L3,Offer3,Web,775,Two-Door Car,Small,Manual,January,2011
60,Arizona,5860,No,Basic,Bachelor,2011-02-01,Employed,M,94527,Rural,Married,73,16.0,32,0.0,3,Personal Auto,Personal L1,Offer1,Agent,41,Four-Door Car,Medsize,Automatic,February,2011
61,Oregon,2301,Yes,Basic,Bachelor,2011-01-15,Retired,M,25905,Suburban,Divorced,63,21.0,12,0.0,1,Corporate Auto,Corporate L3,Offer1,Agent,302,Four-Door Car,Large,Manual,January,2011
62,California,4950,No,Basic,High School or Below,2011-01-20,Employed,F,27400,Suburban,Married,63,14.0,78,1.0,9,Personal Auto,Personal L1,Offer3,Agent,302,Four-Door Car,Medsize,Automatic,January,2011
63,Washington,7507,Yes,Basic,College,2011-02-06,Employed,M,60920,Urban,Single,64,15.0,61,0.0,2,Personal Auto,Personal L3,Offer2,Agent,231,Two-Door Car,Medsize,Automatic,February,2011
64,Nevada,2224,No,Basic,College,2011-01-05,Unemployed,F,0,Suburban,Single,64,20.0,4,0.0,1,Corporate Auto,Corporate L2,Offer2,Branch,483,Four-Door Car,Medsize,Automatic,January,2011
65,Oregon,2867,Yes,Extended,Bachelor,2011-01-03,Retired,F,23376,Suburban,Divorced,78,19.0,18,0.0,1,Personal Auto,Personal L3,Offer2,Call Center,374,Four-Door Car,Medsize,Automatic,January,2011
66,Oregon,5427,No,Basic,College,2011-02-11,Medical Leave,F,27677,Suburban,Married,72,10.0,82,1.0,3,Personal Auto,Personal L3,Offer2,Agent,346,Four-Door Car,Medsize,Manual,February,2011
67,Arizona,12158,No,Extended,High School or Below,2011-01-07,Employed,M,40432,Suburban,Married,77,21.0,66,0.0,2,Personal Auto,Personal L3,Offer3,Agent,370,Four-Door Car,Medsize,Automatic,January,2011
68,California,8152,No,Extended,High School or Below,2011-01-21,Unemployed,M,0,Suburban,Single,79,19.0,70,0.0,2,Personal Auto,Personal L1,Offer1,Agent,569,Four-Door Car,Small,Manual,January,2011
69,Arizona,2191,No,Basic,College,2011-01-29,Unemployed,M,0,Suburban,Single,61,9.0,16,1.0,1,Special Auto,Special L2,Offer1,Agent,439,Four-Door Car,Medsize,Manual,January,2011
70,Oregon,26346,No,Extended,High School or Below,2011-01-20,Employed,M,48268,Suburban,Divorced,223,28.0,26,0.0,2,Personal Auto,Personal L2,Offer1,Web,1606,Luxury SUV,Medsize,Manual,January,2011
71,Oregon,2364,No,Basic,College,2011-01-18,Employed,M,46264,Urban,Single,62,17.0,75,0.0,1,Corporate Auto,Corporate L1,Offer4,Branch,199,Four-Door Car,Medsize,Manual,January,2011
72,California,2710,No,Basic,Doctor,2011-01-11,Unemployed,M,0,Suburban,Married,71,7.0,87,0.0,1,Personal Auto,Personal L3,Offer1,Agent,341,Four-Door Car,Small,Manual,January,2011
73,Washington,74229,No,Extended,High School or Below,2011-01-26,Unemployed,M,0,Suburban,Single,242,1.0,34,0.0,2,Personal Auto,Personal L1,Offer1,Branch,1742,Luxury Car,Medsize,Manual,January,2011
74,California,14687,No,Extended,Bachelor,2011-02-23,Unemployed,M,0,Suburban,Single,85,3.0,61,0.0,2,Personal Auto,Personal L1,Offer1,Web,612,Four-Door Car,Small,Automatic,February,2011
75,Arizona,9313,No,Premium,High School or Below,2011-02-13,Employed,M,75986,Rural,Married,115,11.0,44,0.0,3,Personal Auto,Personal L3,Offer3,Call Center,89,Four-Door Car,Medsize,Manual,February,2011
76,California,7750,No,Basic,College,2011-02-23,Employed,F,22668,Rural,Single,67,5.0,34,1.0,2,Personal Auto,Personal L2,Offer3,Branch,34,Four-Door Car,Medsize,Automatic,February,2011
77,Washington,2541,No,Basic,Master,2011-02-28,Employed,M,42557,Rural,Single,65,4.0,35,0.0,1,Personal Auto,Personal L3,Offer4,Agent,58,Four-Door Car,Large,Manual,February,2011
78,Arizona,2457,No,Basic,High School or Below,2011-02-15,Unemployed,M,0,Suburban,Single,73,15.0,59,0.0,1,Personal Auto,Personal L3,Offer4,Branch,526,Four-Door Car,Small,Automatic,February,2011
79,Oregon,3756,No,Extended,High School or Below,2011-01-04,Employed,F,56178,Suburban,Married,94,1.0,39,0.0,1,Personal Auto,Personal L3,Offer2,Branch,451,Four-Door Car,Medsize,Manual,January,2011
80,Arizona,5181,No,Basic,College,2011-02-02,Unemployed,F,0,Suburban,Married,70,15.0,64,0.0,7,Personal Auto,Personal L1,Offer1,Branch,336,Four-Door Car,Large,Manual,February,2011
81,Oregon,32475,No,Basic,High School or Below,2011-01-22,Employed,M,71449,Suburban,Divorced,102,17.0,7,0.0,2,Personal Auto,Personal L3,Offer4,Call Center,734,SUV,Small,Automatic,January,2011
82,California,8350,No,Basic,Bachelor,2011-01-09,Employed,M,45428,Urban,Divorced,109,15.0,46,0.0,3,Corporate Auto,Corporate L3,Offer1,Call Center,487,SUV,Medsize,Automatic,January,2011
83,Oregon,6942,No,Basic,College,2011-02-11,Unemployed,F,0,Suburban,Single,111,3.0,73,3.0,6,Personal Auto,Personal L3,Offer1,Agent,533,SUV,Small,Automatic,February,2011
84,California,7048,No,Basic,College,2011-02-19,Medical Leave,M,24030,Suburban,Single,194,14.0,0,0.0,1,Personal Auto,Personal L1,Offer1,Agent,971,Luxury SUV,Medsize,Manual,February,2011
85,Arizona,26770,No,Basic,College,2011-01-23,Employed,F,26335,Urban,Married,113,32.0,7,1.0,2,Personal Auto,Personal L2,Offer1,Call Center,356,SUV,Large,Manual,January,2011
86,Nevada,9549,No,Basic,High School or Below,2011-02-09,Employed,F,55986,Urban,Married,119,3.0,60,0.0,9,Personal Auto,Personal L1,Offer1,Agent,389,SUV,Small,Manual,February,2011
87,Washington,4331,No,Basic,High School or Below,2011-02-11,Employed,F,82302,Suburban,Married,106,11.0,92,0.0,1,Personal Auto,Personal L2,Offer1,Branch,722,SUV,Medsize,Manual,February,2011
88,Washington,7294,No,Basic,College,2011-02-24,Unemployed,F,0,Suburban,Single,113,12.0,66,2.0,7,Personal Auto,Personal L3,Offer1,Call Center,734,Sports Car,Medsize,Automatic,February,2011
89,Oregon,3289,No,Extended,College,2011-01-29,Employed,M,40097,Rural,Single,92,23.0,35,4.0,1,Personal Auto,Personal L2,Offer1,Call Center,227,Two-Door Car,Medsize,Manual,January,2011
90,Arizona,3418,No,Extended,High School or Below,2011-01-25,Employed,F,72460,Urban,Married,85,9.0,76,0.0,1,Personal Auto,Personal L2,Offer2,Call Center,370,Four-Door Car,Medsize,Automatic,January,2011
91,California,16321,No,Extended,High School or Below,2011-02-27,Unemployed,F,0,Suburban,Single,247,5.0,12,3.0,5,Personal Auto,Personal L2,Offer2,Branch,1778,Luxury Car,Medsize,Manual,February,2011
92,California,2838,No,Extended,Bachelor,2011-02-07,Unemployed,F,0,Urban,Divorced,80,30.0,8,0.0,1,Personal Auto,Personal L1,Offer1,Web,337,Four-Door Car,Medsize,Manual,February,2011
93,California,4701,No,Basic,College,2011-02-18,Employed,F,76694,Suburban,Married,117,34.0,23,0.0,1,Personal Auto,Personal L1,Offer4,Agent,562,SUV,Medsize,Automatic,February,2011
94,Arizona,2472,Yes,Basic,High School or Below,2011-01-15,Employed,M,95697,Rural,Married,61,16.0,55,0.0,1,Personal Auto,Personal L2,Offer2,Agent,114,Two-Door Car,Medsize,Automatic,January,2011
95,Arizona,10131,No,Extended,Doctor,2011-01-17,Employed,F,59232,Suburban,Divorced,85,6.0,75,0.0,2,Corporate Auto,Corporate L3,Offer3,Branch,408,Two-Door Car,Medsize,Automatic,January,2011
96,California,3419,No,Extended,High School or Below,2011-02-13,Employed,M,40272,Rural,Married,86,8.0,64,0.0,1,Personal Auto,Personal L3,Offer3,Agent,23,Two-Door Car,Medsize,Manual,February,2011
97,California,23866,No,Extended,High School or Below,2011-02-14,Unemployed,F,0,Suburban,Married,81,27.0,93,1.0,2,Personal Auto,Personal L2,Offer3,Branch,389,Four-Door Car,Medsize,Automatic,February,2011
98,Arizona,8324,No,Extended,High School or Below,2011-01-01,Unemployed,M,0,Suburban,Single,121,15.0,92,0.0,5,Corporate Auto,Corporate L3,Offer2,Branch,871,Sports Car,Medsize,Automatic,January,2011
99,Arizona,3179,No,Extended,Bachelor,2011-01-21,Employed,F,65742,Urban,Married,79,6.0,0,0.0,1,Personal Auto,Personal L3,Offer2,Call Center,277,Four-Door Car,Medsize,Manual,January,2011
100,Oregon,6672,No,Extended,College,2011-02-13,Employed,F,56830,Urban,Married,83,15.0,27,0.0,9,Personal Auto,Personal L1,Offer2,Agent,320,Two-Door Car,Medsize,Automatic,February,2011
101,California,16408,No,Premium,Bachelor,2011-01-12,Employed,M,22103,Rural,Single,109,16.0,31,0.0,2,Personal Auto,Personal L2,Offer1,Agent,160,Four-Door Car,Large,Manual,January,2011
102,Arizona,9372,No,Basic,Bachelor,2011-02-01,Employed,F,66325,Urban,Married,117,10.0,10,0.0,5,Corporate Auto,Corporate L2,Offer1,Agent,498,SUV,Medsize,Automatic,February,2011
103,Arizona,4270,Yes,Extended,College,2011-01-19,Unemployed,M,0,Suburban,Married,122,27.0,2,0.0,1,Personal Auto,Personal L3,Offer2,Agent,726,SUV,Medsize,Manual,January,2011
104,California,5800,No,Basic,College,2011-01-03,Employed,M,60689,Rural,Single,74,29.0,67,0.0,7,Corporate Auto,Corporate L2,Offer2,Branch,6,Four-Door Car,Medsize,Manual,January,2011
105,Oregon,5097,Yes,Basic,Master,2011-01-28,Disabled,F,22886,Suburban,Divorced,65,9.0,81,0.0,3,Corporate Auto,Corporate L2,Offer1,Agent,312,Four-Door Car,Small,Automatic,January,2011
106,Nevada,15563,No,Premium,Bachelor,2011-01-19,Unemployed,F,0,Suburban,Married,253,15.0,40,5.0,7,Personal Auto,Personal L1,Offer3,Web,1214,Luxury Car,Medsize,Automatic,January,2011
107,Washington,7476,No,Basic,Bachelor,2011-01-26,Disabled,F,29633,Urban,Married,196,26.0,57,0.0,1,Corporate Auto,Corporate L3,Offer1,Agent,535,Luxury Car,Medsize,Automatic,January,2011
108,Oregon,9987,No,Extended,High School or Below,2011-01-22,Disabled,M,24067,Suburban,Single,132,12.0,2,0.0,6,Corporate Auto,Corporate L3,Offer2,Branch,634,Sports Car,Medsize,Manual,January,2011
109,California,5569,No,Extended,College,2011-02-21,Employed,F,51489,Rural,Married,139,14.0,10,0.0,1,Personal Auto,Personal L2,Offer1,Web,237,SUV,Medsize,Automatic,February,2011
110,Washington,20580,No,Basic,Bachelor,2011-01-16,Unemployed,M,0,Suburban,Single,69,5.0,26,0.0,2,Personal Auto,Personal L3,Offer3,Call Center,567,Four-Door Car,Medsize,Automatic,January,2011
111,Oregon,8276,No,Extended,High School or Below,2011-02-18,Unemployed,M,0,Suburban,Single,82,29.0,92,0.0,2,Personal Auto,Personal L2,Offer3,Branch,590,Four-Door Car,Medsize,Automatic,February,2011
112,California,4014,No,Extended,Master,2011-02-17,Employed,F,54054,Rural,Married,99,7.0,55,0.0,1,Personal Auto,Personal L2,Offer2,Branch,6,Four-Door Car,Medsize,Manual,February,2011
113,Arizona,12990,No,Basic,Bachelor,2011-02-24,Unemployed,M,0,Suburban,Single,65,16.0,3,0.0,2,Personal Auto,Personal L3,Offer1,Web,312,Four-Door Car,Medsize,Manual,February,2011
114,California,15114,Yes,Basic,High School or Below,2011-01-19,Medical Leave,F,28513,Suburban,Married,100,4.0,22,1.0,2,Corporate Auto,Corporate L2,Offer2,Call Center,480,SUV,Medsize,Automatic,January,2011
115,Washington,4710,No,Basic,High School or Below,2011-02-12,Unemployed,F,0,Suburban,Single,66,17.0,29,0.0,3,Personal Auto,Personal L1,Offer1,Agent,471,Four-Door Car,Small,Automatic,February,2011
116,Oregon,2453,No,Basic,College,2011-02-14,Employed,M,79898,Urban,Married,62,5.0,86,1.0,1,Corporate Auto,Corporate L1,Offer4,Agent,272,Four-Door Car,Medsize,Manual,February,2011
117,California,3919,Yes,Extended,High School or Below,2011-01-05,Employed,F,66676,Suburban,Married,97,0.0,40,0.0,1,Personal Auto,Personal L1,Offer3,Agent,558,Four-Door Car,Small,Manual,January,2011
118,Oregon,12333,No,Basic,College,2011-02-28,Employed,M,85789,Rural,Married,105,18.0,54,2.0,2,Personal Auto,Personal L1,Offer1,Agent,122,Sports Car,Medsize,Manual,February,2011
119,California,35863,No,Extended,High School or Below,2011-02-26,Medical Leave,M,26376,Suburban,Divorced,121,7.0,19,0.0,2,Personal Auto,Personal L3,Offer1,Agent,581,SUV,Small,Manual,February,2011
120,Oregon,2398,No,Basic,College,2011-02-14,Disabled,M,14321,Suburban,Single,65,20.0,72,0.0,1,Personal Auto,Personal L2,Offer1,Branch,424,Four-Door Car,Medsize,Automatic,February,2011
121,California,6006,Yes,Extended,College,2011-02-23,Retired,M,13528,Suburban,Single,86,21.0,35,0.0,3,Personal Auto,Personal L3,Offer1,Agent,413,Four-Door Car,Medsize,Manual,February,2011
122,California,8014,No,Basic,Bachelor,2011-01-17,Employed,M,65636,Suburban,Married,67,15.0,72,0.0,2,Personal Auto,Personal L2,Offer2,Call Center,322,Four-Door Car,Medsize,Manual,January,2011
123,Washington,4979,No,Basic,High School or Below,2011-01-29,Unemployed,M,0,Suburban,Single,71,17.0,57,0.0,5,Personal Auto,Personal L1,Offer2,Agent,341,Two-Door Car,Medsize,Manual,January,2011
124,Arizona,4835,Yes,Basic,College,2011-01-31,Employed,F,38713,Suburban,Divorced,66,31.0,69,4.0,6,Corporate Auto,Corporate L3,Offer2,Call Center,317,Four-Door Car,Medsize,Automatic,January,2011
125,Nevada,3288,No,Basic,College,2011-01-16,Unemployed,M,0,Suburban,Single,102,16.0,1,1.0,1,Personal Auto,Personal L3,Offer1,Call Center,734,SUV,Large,Manual,January,2011
126,Arizona,5525,No,Basic,College,2011-02-01,Employed,F,64816,Suburban,Married,69,30.0,33,0.0,7,Corporate Auto,Corporate L2,Offer3,Agent,331,Four-Door Car,Small,Manual,February,2011
127,Washington,9031,Yes,Extended,Master,2011-02-23,Unemployed,F,0,Suburban,Single,122,15.0,47,0.0,9,Corporate Auto,Corporate L2,Offer1,Branch,651,Sports Car,Medsize,Automatic,February,2011
128,California,4620,No,Extended,College,2011-02-26,Unemployed,F,0,Suburban,Single,130,11.0,0,0.0,1,Personal Auto,Personal L2,Offer3,Agent,936,SUV,Medsize,Automatic,February,2011
129,Washington,5553,No,Basic,High School or Below,2011-02-27,Employed,M,50470,Suburban,Divorced,71,1.0,87,0.0,8,Corporate Auto,Corporate L2,Offer4,Call Center,377,Two-Door Car,Large,Automatic,February,2011
130,Nevada,3842,No,Premium,College,2011-01-19,Disabled,M,27906,Suburban,Divorced,102,5.0,57,0.0,1,Personal Auto,Personal L3,Offer2,Call Center,490,Four-Door Car,Medsize,Manual,January,2011
131,California,5093,No,Basic,Bachelor,2011-01-06,Employed,F,91814,Urban,Married,63,30.0,99,0.0,3,Personal Auto,Personal L1,Offer3,Call Center,167,Two-Door Car,Medsize,Automatic,January,2011
